Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
1;2002000022;LARANJA;PEMD 14,000 KG - LARANJA;127,63107;0;0;127,63107;UN;Calculado;
1;2002000022;LILAS;PEMD 14,000 KG - LILAS;126,774312;0;0;126,774312;UN;Calculado;
1;2002000022;LIMAO;PEMD 14,000 KG - VERDE LIMAO;137,618138;0;0;137,618138;UN;Calculado;
1;2002000022;VERDE;PEMD 14,000 KG - VERDE;124,451628;0;0;124,451628;UN;Calculado;
1;2002000022;VERMELH;PEMD 14,000 KG - VERMELHO;125,693274;0;0;125,693274;UN;Calculado;
1;2002000023;AMARELO;PEMD 15,000 KG - AMARELO;134,977155;0;0;134,977155;UN;Calculado;
1;2002000023;AZUL;PEMD 15,000 KG - AZUL;139,01688;0;0;139,01688;UN;Calculado;
1;2002000023;CINZA;PEMD 15,000 KG - CINZA;133,55841;0;0;133,55841;UN;Calculado;
1;2002000023;COLORID;PEMD 15,000 KG - COLORIDA;138,72861;0;0;138,72861;UN;Calculado;
1;2002000023;LARANJA;PEMD 15,000 KG - LARANJA;136,747575;0;0;136,747575;UN;Calculado;
1;2002000023;LILAS;PEMD 15,000 KG - LILAS;135,82962;0;0;135,82962;UN;Calculado;
1;2002000023;LIMAO;PEMD 15,000 KG - VERDE LIMAO;147,448005;0;0;147,448005;UN;Calculado;
1;2002000023;VERDE;PEMD 15,000 KG - VERDE;133,34103;0;0;133,34103;UN;Calculado;
1;2002000023;VERMELH;PEMD 15,000 KG - VERMELHO;134,671365;0;0;134,671365;UN;Calculado;
1;2002000024;AMARELO;PEMD 17,000 KG - AMARELO;152,974109;0;0;152,974109;UN;Calculado;
1;2002000024;AZUL;PEMD 17,000 KG - AZUL;157,552464;0;0;157,552464;UN;Calculado;
1;2002000024;CINZA;PEMD 17,000 KG - CINZA;151,366198;0;0;151,366198;UN;Calculado;
1;2002000024;COLORID;PEMD 17,000 KG - COLORIDA;157,225758;0;0;157,225758;UN;Calculado;
1;2002000024;LARANJA;PEMD 17,000 KG - LARANJA;154,980585;0;0;154,980585;UN;Calculado;
1;2002000024;LILAS;PEMD 17,000 KG - LILAS;153,940236;0;0;153,940236;UN;Calculado;
1;2002000024;LIMAO;PEMD 17,000 KG - VERDE LIMAO;167,107739;0;0;167,107739;UN;Calculado;
1;2002000024;MARROM;PEMD 17,000 KG - MARROM;225,468314;0;0;225,468314;UN;Calculado;
1;2002000024;VERDE;PEMD 17,000 KG - VERDE;151,119834;0;0;151,119834;UN;Calculado;
1;2002000024;VERMELH;PEMD 17,000 KG - VERMELHO;152,627547;0;0;152,627547;UN;Calculado;
1;2002000025;AMARELO;PEMD 20,000 KG - AMARELO;179,96954;0;0;179,96954;UN;Calculado;
1;2002000025;AZUL;PEMD 20,000 KG - AZUL;185,35584;0;0;185,35584;UN;Calculado;
1;2002000025;CINZA;PEMD 20,000 KG - CINZA;178,07788;0;0;178,07788;UN;Calculado;
1;2002000025;COLORID;PEMD 20,000 KG - COLORIDA;184,97148;0;0;184,97148;UN;Calculado;
1;2002000025;LARANJA;PEMD 20,000 KG - LARANJA;182,3301;0;0;182,3301;UN;Calculado;
1;2002000025;LILAS;PEMD 20,000 KG - LILAS;181,10616;0;0;181,10616;UN;Calculado;
1;2002000025;LIMAO;PEMD 20,000 KG - VERDE LIMAO;196,59734;0;0;196,59734;UN;Calculado;
1;2002000025;VERDE;PEMD 20,000 KG - VERDE;177,78804;0;0;177,78804;UN;Calculado;
1;2002000025;VERMELH;PEMD 20,000 KG - VERMELHO;179,56182;0;0;179,56182;UN;Calculado;
1;2002000026;AMARELO;PEMD 22,000 KG - AMARELO;197,966494;0;0;197,966494;UN;Calculado;
1;2002000026;AZUL;PEMD 22,000 KG - AZUL;203,891424;0;0;203,891424;UN;Calculado;
1;2002000026;CINZA;PEMD 22,000 KG - CINZA;195,885668;0;0;195,885668;UN;Calculado;
1;2002000026;COLORID;PEMD 22,000 KG - COLORIDA;203,468628;0;0;203,468628;UN;Calculado;
1;2002000026;LARANJA;PEMD 22,000 KG - LARANJA;200,56311;0;0;200,56311;UN;Calculado;
1;2002000026;LILAS;PEMD 22,000 KG - LILAS;199,216776;0;0;199,216776;UN;Calculado;
1;2002000026;LIMAO;PEMD 22,000 KG - VERDE LIMAO;216,257074;0;0;216,257074;UN;Calculado;
1;2002000026;VERDE;PEMD 22,000 KG - VERDE;195,566844;0;0;195,566844;UN;Calculado;
1;2002000026;VERMELH;PEMD 22,000 KG - VERMELHO;197,518002;0;0;197,518002;UN;Calculado;
1;2002000027;AMARELO;PEMD 25,000 KG - AMARELO;224,961925;0;0;224,961925;UN;Calculado;
1;2002000027;AZUL;PEMD 25,000 KG - AZUL;231,6948;0;0;231,6948;UN;Calculado;
1;2002000027;CINZA;PEMD 25,000 KG - CINZA;222,59735;0;0;222,59735;UN;Calculado;
1;2002000027;COLORID;PEMD 25,000 KG - COLORIDA;231,21435;0;0;231,21435;UN;Calculado;
1;2002000027;LARANJA;PEMD 25,000 KG - LARANJA;227,912625;0;0;227,912625;UN;Calculado;
1;2002000027;LILAS;PEMD 25,000 KG - LILAS;226,3827;0;0;226,3827;UN;Calculado;
1;2002000027;LIMAO;PEMD 25,000 KG - VERDE LIMAO;245,746675;0;0;245,746675;UN;Calculado;
1;2002000027;VERDE;PEMD 25,000 KG - VERDE;222,23505;0;0;222,23505;UN;Calculado;
1;2002000027;VERMELH;PEMD 25,000 KG - VERMELHO;224,452275;0;0;224,452275;UN;Calculado;
1;2002000028;VERDE;PEMD 26,000 KG - VERDE;231,124452;0;0;231,124452;UN;Calculado;
1;2002000028;VERMELH;PEMD 26,000 KG - VERMELHO;233,430366;0;0;233,430366;UN;Calculado;
1;2002000029;VERDE;PEMD 24,000 KG - VERDE;213,345648;0;0;213,345648;UN;Calculado;
1;2002000029;VERMELH;PEMD 24,000 KG - VERMELHO;215,474184;0;0;215,474184;UN;Calculado;
1;2002000030;COLORID;PEMD 18,000 KG - COLORIDA;166,474332;0;0;166,474332;UN;Calculado;
1;2002000030;VERDE;PEMD 18,000 KG - VERDE;160,009236;0;0;160,009236;UN;Calculado;
